userid,movieid,rating,date
888,26377,0.5,9/17/2009 0:00
888,53324,0.5,9/17/2009 0:00
5153,3801,4.5,5/17/2009 0:00
5153,7877,4.5,3/25/2009 0:00
1896,34815,4,12/18/2008 0:00
1896,60244,4.5,12/18/2008 0:00
234,13762,3.5,4/29/2009 0:00
234,15179,5,4/29/2009 0:00
6120,24010,5,12/8/2008 0:00
6120,20644,5,12/8/2008 0:00
8691,62530,5,4/7/2009 0:00
761,63684,5,1/27/2009 0:00
8189,9711,4.5,3/13/2009 0:00
8189,9965,5,3/13/2009 0:00
236,54336,1.5,3/2/2009 0:00
236,62530,0.5,3/2/2009 0:00
5521,8784,2.5,7/10/2009 0:00
5521,18330,2.5,8/8/2009 0:00
899,4329,5,3/27/2008 0:00
899,20445,5,1/27/2008 0:00
1202,7684,1,7/6/2009 0:00
1202,8784,3,7/7/2009 0:00
1925,46995,2.5,12/26/2008 0:00
1925,53968,1,12/26/2008 0:00
6163,8538,4,1/26/2009 0:00
6163,43529,3,1/26/2009 0:00
5756,34060,3,3/30/2009 0:00
5756,47784,3.5,3/30/2009 0:00
239,5802,4,2/20/2009 0:00
239,5591,4,2/20/2009 0:00
288,77,4,6/30/2007 0:00
288,348,3.5,4/23/2007 0:00
6198,29730,4.5,3/1/2009 0:00
6198,56915,4.5,12/11/2008 0:00
240,3301,3.5,2/1/2009 0:00
240,5806,3.5,2/1/2009 0:00
901,20279,4.5,4/23/2009 0:00
901,54336,5,3/3/2009 0:00
5533,3317,5,4/6/2009 0:00
5533,5806,3.5,4/6/2009 0:00
904,17422,1,1/16/2009 0:00
904,26405,2.5,1/16/2009 0:00
241,65325,3,3/18/2009 0:00
5924,25422,3,4/22/2009 0:00
5924,27008,4,4/22/2009 0:00
762,47784,4,4/2/2009 0:00
762,62530,1,4/2/2009 0:00
1206,2460,4.5,3/14/2009 0:00
1206,20917,5,3/14/2009 0:00
6085,7877,5,3/31/2009 0:00
6085,26791,5,3/31/2009 0:00
9259,43588,3,10/6/2008 0:00
9259,54715,3.5,10/6/2008 0:00
6070,2194,2,8/14/2009 0:00
6070,14070,1,8/15/2009 0:00
568,43529,5,12/29/2008 0:00
568,62530,4.5,6/24/2009 0:00
8831,33488,1.5,3/3/2009 0:00
8831,62530,2,6/27/2009 0:00
4717,17293,5,4/29/2009 0:00
4717,46203,5,4/29/2009 0:00
1980,62530,5,6/9/2009 0:00
6887,20380,3,4/15/2009 0:00
6887,26405,5,3/1/2009 0:00
6916,47429,4,8/13/2009 0:00
6983,47429,5,9/4/2009 0:00
6983,55952,4.5,9/4/2009 0:00
5894,43841,5,8/1/2009 0:00
6117,26405,4.5,2/9/2009 0:00
6117,62530,5,2/9/2009 0:00
4728,17422,3,2/27/2009 0:00
4728,26405,5,2/27/2009 0:00
1613,8749,4.5,1/29/2009 0:00
1613,9134,3,1/29/2009 0:00
2047,40697,3.5,3/20/2009 0:00
291,348,3.5,7/29/2008 0:00
291,109,3.5,11/17/2008 0:00
5709,1634,5,4/14/2009 0:00
5709,1990,4.5,4/14/2009 0:00
248,53027,5,3/1/2009 0:00
293,54336,2.5,3/15/2009 0:00
7636,464,3.5,2/21/2008 0:00
7636,3248,3.5,2/21/2008 0:00
6044,62530,4.5,1/25/2009 0:00
9405,17422,4.5,2/28/2009 0:00
9405,43529,4.5,2/28/2009 0:00
5497,17422,4.5,1/30/2009 0:00
5497,17401,3,3/16/2009 0:00
6087,16694,2.5,6/3/2009 0:00
6087,26960,3.5,6/3/2009 0:00
5808,465,3.5,12/27/2007 0:00
5808,926,4,12/27/2007 0:00
5655,17293,2,4/12/2009 0:00
5655,52672,4.5,4/16/2009 0:00
8986,7684,3,6/10/2009 0:00
8986,20642,5,7/11/2009 0:00
61,16713,4.5,4/19/2009 0:00
61,16969,5,4/19/2009 0:00
6985,2939,3,7/28/2009 0:00
6985,3251,3.5,4/11/2009 0:00
6129,26792,4,6/13/2009 0:00
6129,39530,3.5,6/13/2009 0:00
1215,17293,3,4/22/2009 0:00
1215,62530,3.5,4/22/2009 0:00
4813,54336,2.5,3/12/2009 0:00
4813,62530,3,3/12/2009 0:00
6948,603,2.5,9/11/2009 0:00
6948,18330,2.5,8/26/2009 0:00
2048,926,5,4/4/2009 0:00
2048,3953,5,4/4/2009 0:00
3854,17422,3,2/4/2009 0:00
3854,26405,3.5,2/4/2009 0:00
6500,17422,3,4/12/2009 0:00
6500,26405,1.5,4/12/2009 0:00
9093,12034,2.5,5/13/2009 0:00
9093,38700,2.5,5/13/2009 0:00
1981,13762,4.5,5/24/2009 0:00
1981,49829,4.5,5/8/2009 0:00
251,21317,4.5,4/15/2009 0:00
251,29309,4.5,4/15/2009 0:00
1633,45686,3,11/13/2008 0:00
9499,63684,5,2/27/2009 0:00
2078,56558,5,6/6/2009 0:00
6530,5875,3.5,1/11/2009 0:00
6530,17422,4.5,1/31/2009 0:00
571,16694,2.5,5/16/2009 0:00
571,31065,5,5/16/2009 0:00
119,17293,2.5,4/4/2009 0:00
119,47784,3,4/4/2009 0:00
9190,49294,3,5/7/2009 0:00
9190,48019,3,5/7/2009 0:00
70,43529,3.5,1/12/2009 0:00
1656,9760,4,4/25/2009 0:00
1656,16969,4,4/25/2009 0:00
6192,603,5,10/7/2009 0:00
6192,10563,5,10/7/2009 0:00
9789,17422,3,1/25/2009 0:00
9789,26405,5,1/25/2009 0:00
6331,38700,5,5/15/2009 0:00
6331,44142,2,5/15/2009 0:00
6573,26405,2.5,2/11/2009 0:00
6573,43529,1.5,2/11/2009 0:00
9258,12902,3.5,4/17/2009 0:00
9258,12903,3,4/17/2009 0:00
6563,16969,5,2/28/2009 0:00
6563,62530,5,3/2/2009 0:00
6234,57699,2,7/28/2009 0:00
9648,43529,5,6/8/2009 0:00
9648,62530,5,6/8/2009 0:00
2182,49829,4.5,5/8/2009 0:00
5212,63684,3.5,6/2/2009 0:00
258,16694,3,5/23/2009 0:00
258,51696,1.5,5/23/2009 0:00
6481,5124,4.5,4/25/2009 0:00
6481,5806,3.5,4/25/2009 0:00
307,464,3.5,1/23/2008 0:00
307,10566,4.5,6/16/2008 0:00
1324,49792,4.5,5/15/2009 0:00
5918,62530,1,4/27/2009 0:00
2183,8165,4.5,6/8/2009 0:00
2183,18330,4,8/25/2009 0:00
6035,348,4,3/24/2009 0:00
6035,926,3,3/24/2009 0:00
6073,25050,0.5,9/23/2009 0:00
6073,43318,0.5,9/23/2009 0:00
1326,40697,3.5,3/30/2009 0:00
1326,60268,5,3/5/2009 0:00
6702,21442,4.5,6/8/2009 0:00
6702,44167,5,7/31/2009 0:00
8897,5124,3,7/20/2009 0:00
8897,12185,2.5,7/22/2009 0:00
371,348,4,5/1/2009 0:00
371,101,3.5,5/1/2009 0:00
5955,7684,3.5,6/30/2009 0:00
5955,8784,3.5,6/30/2009 0:00
1645,10563,2.5,9/5/2009 0:00
1645,46173,1,9/5/2009 0:00
1220,17422,3,1/16/2009 0:00
1220,26405,4,1/16/2009 0:00
3864,237,4.5,3/19/2009 0:00
3864,26642,5,3/19/2009 0:00
9350,20641,5,7/16/2009 0:00
9889,81,1.5,6/25/2009 0:00
9889,101,2.5,6/25/2009 0:00
6327,20641,3.5,7/17/2009 0:00
5604,2550,5,9/3/2009 0:00
2175,8949,4.5,1/17/2009 0:00
2175,26405,4.5,1/17/2009 0:00
3285,21087,4.5,12/22/2008 0:00
3285,24251,4.5,12/26/2008 0:00
3865,21508,0.5,8/1/2009 0:00
3866,4770,5,11/11/2008 0:00
3866,12956,4,4/28/2009 0:00
1670,20641,5,6/30/2009 0:00
1670,36092,4.5,9/3/2009 0:00