userid,movieid,rating,date
888,26377,0.5,9/17/2009 0:00
888,53324,0.5,9/17/2009 0:00
5153,3801,4.5,5/17/2009 0:00
5153,7877,4.5,3/25/2009 0:00
5153,9229,4,1/8/2009 0:00
5153,9250,3.5,1/8/2009 0:00
1896,34815,4,12/18/2008 0:00
1896,60244,4.5,12/18/2008 0:00
234,13762,3.5,4/29/2009 0:00
234,15179,5,4/29/2009 0:00
234,15181,5,4/29/2009 0:00
234,17293,4.5,4/29/2009 0:00
234,51694,5,4/29/2009 0:00
234,55248,4.5,5/16/2009 0:00
6120,24010,5,12/8/2008 0:00
6120,20644,5,12/8/2008 0:00
8691,62530,5,4/7/2009 0:00
761,63684,5,1/27/2009 0:00
8189,9711,4.5,3/13/2009 0:00
8189,9965,5,3/13/2009 0:00
8189,20445,4,3/13/2009 0:00
8189,31023,4,3/13/2009 0:00
8189,36096,4.5,3/13/2009 0:00
8189,35976,4,3/13/2009 0:00
236,54336,1.5,3/2/2009 0:00
236,62530,0.5,3/2/2009 0:00
5521,8784,2.5,7/10/2009 0:00
5521,18330,2.5,8/8/2009 0:00
5521,18858,3.5,7/10/2009 0:00
5521,20641,3,7/10/2009 0:00
5521,57699,1.5,7/10/2009 0:00
899,4329,5,3/27/2008 0:00
899,20445,5,1/27/2008 0:00
899,20327,5,4/10/2008 0:00
899,24941,4,1/20/2008 0:00
899,26324,5,1/18/2008 0:00
899,23789,5,1/15/2008 0:00
899,31276,4,7/17/2008 0:00
1202,7684,1,7/6/2009 0:00
1202,8784,3,7/7/2009 0:00
1202,26400,2.5,7/7/2009 0:00
1202,39530,2,7/6/2009 0:00
1202,54146,5,7/6/2009 0:00
1202,66208,1.5,7/6/2009 0:00
1925,46995,2.5,12/26/2008 0:00
1925,53968,1,12/26/2008 0:00
6163,8538,4,1/26/2009 0:00
6163,43529,3,1/26/2009 0:00
6163,60645,2.5,1/26/2009 0:00
6163,62530,3.5,1/26/2009 0:00
5756,34060,3,3/30/2009 0:00
5756,47784,3.5,3/30/2009 0:00
5756,62530,3,3/30/2009 0:00
239,5802,4,2/20/2009 0:00
239,5591,4,2/20/2009 0:00
239,5708,1,2/20/2009 0:00
239,8039,5,2/20/2009 0:00
239,9533,4,2/20/2009 0:00
239,12185,2,2/20/2009 0:00
239,16390,4,2/22/2009 0:00
239,16969,3,2/22/2009 0:00
239,20800,4.5,2/20/2009 0:00
239,17971,5,2/20/2009 0:00
288,77,4,6/30/2007 0:00
288,348,3.5,4/23/2007 0:00
288,81,4,7/3/2007 0:00
288,101,4,2/26/2008 0:00
288,109,5,6/30/2007 0:00
288,464,4,6/13/2008 0:00
288,465,5,6/13/2008 0:00
288,496,5,6/13/2008 0:00
288,66613,3,6/13/2008 0:00
6198,29730,4.5,3/1/2009 0:00
6198,56915,4.5,12/11/2008 0:00
6198,56916,5,12/11/2008 0:00
240,3301,3.5,2/1/2009 0:00
240,5806,3.5,2/1/2009 0:00
240,31421,4.5,2/1/2009 0:00
240,40282,4.5,2/1/2009 0:00
240,52880,4,2/1/2009 0:00
240,59471,5,2/1/2009 0:00
901,20279,4.5,4/23/2009 0:00
901,54336,5,3/3/2009 0:00
901,62530,5,3/3/2009 0:00
5533,3317,5,4/6/2009 0:00
5533,5806,3.5,4/6/2009 0:00
5533,5809,2,4/6/2009 0:00
5533,12505,0.5,5/1/2009 0:00
5533,14392,1.5,2/15/2009 0:00
5533,16713,0.5,5/1/2009 0:00
5533,19610,3.5,9/22/2009 0:00
5533,19787,5,3/5/2009 0:00
5533,16969,2.5,5/1/2009 0:00
904,17422,1,1/16/2009 0:00
904,26405,2.5,1/16/2009 0:00
904,43529,1,1/16/2009 0:00
904,60645,1,1/16/2009 0:00
241,65325,3,3/18/2009 0:00
5924,25422,3,4/22/2009 0:00
5924,27008,4,4/22/2009 0:00
5924,37988,4,4/22/2009 0:00
5924,40372,3.5,4/22/2009 0:00
762,47784,4,4/2/2009 0:00
762,62530,1,4/2/2009 0:00
762,65325,5,3/18/2009 0:00
1206,2460,4.5,3/14/2009 0:00
1206,20917,5,3/14/2009 0:00
1206,47784,5,3/14/2009 0:00
1206,55828,5,3/14/2009 0:00
1206,56916,5,3/14/2009 0:00
1206,65325,5,3/14/2009 0:00
6085,7877,5,3/31/2009 0:00
6085,26791,5,3/31/2009 0:00
6085,32983,5,3/31/2009 0:00
6085,34060,5,3/31/2009 0:00
6085,62537,5,3/31/2009 0:00
6085,63684,5,3/31/2009 0:00
6085,65325,5,3/31/2009 0:00
9259,43588,3,10/6/2008 0:00
9259,54715,3.5,10/6/2008 0:00
6070,2194,2,8/14/2009 0:00
6070,14070,1,8/15/2009 0:00
6070,20641,3,8/14/2009 0:00
6070,27152,3,8/15/2009 0:00
6070,52705,2.5,8/15/2009 0:00
6070,60512,3,8/15/2009 0:00
568,43529,5,12/29/2008 0:00
568,62530,4.5,6/24/2009 0:00
8831,33488,1.5,3/3/2009 0:00
8831,62530,2,6/27/2009 0:00
4717,17293,5,4/29/2009 0:00
4717,46203,5,4/29/2009 0:00
4717,43004,5,4/29/2009 0:00
4717,46431,5,4/29/2009 0:00
4717,65325,5,4/29/2009 0:00
1980,62530,5,6/9/2009 0:00
6887,20380,3,4/15/2009 0:00
6887,26405,5,3/1/2009 0:00
6887,54336,3.5,3/1/2009 0:00
6887,62530,4,3/1/2009 0:00
6916,47429,4,8/13/2009 0:00
6983,47429,5,9/4/2009 0:00
6983,55952,4.5,9/4/2009 0:00
6983,53990,1.5,9/4/2009 0:00
6983,60512,5,9/4/2009 0:00
6983,63200,4,9/4/2009 0:00
5894,43841,5,8/1/2009 0:00
6117,26405,4.5,2/9/2009 0:00
6117,62530,5,2/9/2009 0:00
4728,17422,3,2/27/2009 0:00
4728,26405,5,2/27/2009 0:00
4728,39384,5,3/6/2009 0:00
4728,48021,4.5,3/6/2009 0:00
4728,54336,5,2/27/2009 0:00
4728,59471,5,3/6/2009 0:00
4728,62530,3,2/27/2009 0:00
4728,65325,4,3/6/2009 0:00
1613,8749,4.5,1/29/2009 0:00
1613,9134,3,1/29/2009 0:00
1613,10290,5,1/29/2009 0:00
1613,10295,4,1/29/2009 0:00
1613,14057,4,1/29/2009 0:00
1613,20232,1.5,1/29/2009 0:00
1613,20678,4,3/8/2009 0:00
1613,35313,4.5,2/22/2009 0:00
2047,40697,3.5,3/20/2009 0:00
291,348,3.5,7/29/2008 0:00
291,109,3.5,11/17/2008 0:00
291,192,3,7/30/2008 0:00
291,494,3,11/17/2008 0:00
291,926,2.5,7/29/2008 0:00
291,1342,2.5,7/29/2008 0:00
291,2350,3,7/29/2008 0:00
291,2397,2.5,7/29/2008 0:00
291,2531,2.5,11/17/2008 0:00
5709,1634,5,4/14/2009 0:00
5709,1990,4.5,4/14/2009 0:00
5709,2784,5,4/14/2009 0:00
5709,2503,5,4/14/2009 0:00
5709,2504,5,4/14/2009 0:00
5709,2785,5,4/14/2009 0:00
5709,2786,5,4/14/2009 0:00
5709,2506,5,4/14/2009 0:00
248,53027,5,3/1/2009 0:00
293,54336,2.5,3/15/2009 0:00
7636,464,3.5,2/21/2008 0:00
7636,3248,3.5,2/21/2008 0:00
7636,3583,3,2/21/2008 0:00
7636,5868,4.5,2/21/2008 0:00
7636,6074,4,2/21/2008 0:00
7636,7515,3,2/21/2008 0:00
6044,62530,4.5,1/25/2009 0:00
9405,17422,4.5,2/28/2009 0:00
9405,43529,4.5,2/28/2009 0:00
5497,17422,4.5,1/30/2009 0:00
5497,17401,3,3/16/2009 0:00
5497,21578,3,3/16/2009 0:00
5497,26405,4,3/16/2009 0:00
5497,28099,4.5,3/16/2009 0:00
5497,34360,4.5,3/16/2009 0:00
6087,16694,2.5,6/3/2009 0:00
6087,26960,3.5,6/3/2009 0:00
6087,31003,2.5,6/3/2009 0:00
6087,37418,2.5,6/3/2009 0:00
6087,51696,5,5/29/2009 0:00
6087,53497,3,6/3/2009 0:00
6087,57491,2.5,6/3/2009 0:00
6087,62530,5,5/29/2009 0:00
6087,61649,2.5,6/3/2009 0:00
5808,465,3.5,12/27/2007 0:00
5808,926,4,12/27/2007 0:00
5808,2776,4,12/27/2007 0:00
5808,3065,3.5,12/25/2007 0:00
5808,5124,3.5,12/27/2007 0:00
5808,10334,4,12/26/2007 0:00
5808,13762,3.5,12/27/2007 0:00
5808,18759,3,12/25/2007 0:00
5808,16930,4,12/27/2007 0:00
5808,17330,2.5,12/27/2007 0:00
5655,17293,2,4/12/2009 0:00
5655,52672,4.5,4/16/2009 0:00
8986,7684,3,6/10/2009 0:00
8986,20642,5,7/11/2009 0:00
8986,20645,4,7/11/2009 0:00
8986,21576,3.5,7/11/2009 0:00
8986,21577,5,7/11/2009 0:00
8986,21578,5,7/11/2009 0:00
8986,26792,3,6/10/2009 0:00
8986,26960,3,6/10/2009 0:00
8986,34060,5,7/11/2009 0:00
8986,39530,3,6/10/2009 0:00
8986,43529,4,6/10/2009 0:00
8986,45119,4,7/11/2009 0:00
8986,45123,4,7/29/2009 0:00
8986,54146,3,6/10/2009 0:00
8986,56591,3,6/10/2009 0:00
8986,57491,3,6/10/2009 0:00
8986,59471,4,7/11/2009 0:00
8986,64151,3,6/10/2009 0:00
61,16713,4.5,4/19/2009 0:00
61,16969,5,4/19/2009 0:00
61,20380,5,4/19/2009 0:00
61,44142,4.5,4/19/2009 0:00
61,63684,4.5,4/19/2009 0:00
6985,2939,3,7/28/2009 0:00
6985,3251,3.5,4/11/2009 0:00
6985,3555,3,4/7/2009 0:00
6985,4053,5,4/5/2009 0:00
6985,7156,4,4/16/2009 0:00
6985,7684,4,7/5/2009 0:00
6985,10301,3,8/3/2009 0:00
6985,11092,4,4/5/2009 0:00
6985,16209,3.5,4/16/2009 0:00
6985,17180,4,4/17/2009 0:00
6985,21508,3,7/26/2009 0:00
6985,18330,3.5,8/23/2009 0:00
6985,19973,3,4/16/2009 0:00
6985,20641,4,7/21/2009 0:00
6985,26400,4,7/7/2009 0:00
6985,25946,2.5,4/7/2009 0:00
6985,39251,3,4/6/2009 0:00
6985,37201,4,4/6/2009 0:00
6985,37306,4,4/17/2009 0:00
6985,40608,3.5,7/26/2009 0:00
6985,37911,4,4/17/2009 0:00
6985,38308,3.5,4/16/2009 0:00
6985,44142,4,8/10/2009 0:00
6985,47429,3,8/22/2009 0:00
6985,47784,3,4/5/2009 0:00
6985,46173,3.5,9/10/2009 0:00
6985,48032,3,4/16/2009 0:00
6985,48767,3,4/17/2009 0:00
6985,51696,3,5/16/2009 0:00
6985,52616,4,4/17/2009 0:00
6985,53497,3.5,7/5/2009 0:00
6985,54099,3,4/6/2009 0:00
6985,56457,2,4/16/2009 0:00
6985,56990,3,4/12/2009 0:00
6985,60178,3.5,7/5/2009 0:00
6985,60512,4,8/23/2009 0:00
6985,57691,3,6/28/2009 0:00
6985,57699,4,7/21/2009 0:00
6985,60775,2.5,4/7/2009 0:00
6985,61096,3,4/17/2009 0:00
6985,58969,3,4/16/2009 0:00
6985,59350,3.5,4/6/2009 0:00
6985,59613,5,4/5/2009 0:00
6985,60940,3,8/28/2009 0:00
6129,26792,4,6/13/2009 0:00
6129,39530,3.5,6/13/2009 0:00
6129,43529,4.5,6/13/2009 0:00
6129,54146,3,6/13/2009 0:00
6129,57491,4,6/13/2009 0:00
1215,17293,3,4/22/2009 0:00
1215,62530,3.5,4/22/2009 0:00
4813,54336,2.5,3/12/2009 0:00
4813,62530,3,3/12/2009 0:00
4813,65325,3,3/12/2009 0:00
6948,603,2.5,9/11/2009 0:00
6948,18330,2.5,8/26/2009 0:00
6948,43310,2.5,8/26/2009 0:00
2048,926,5,4/4/2009 0:00
2048,3953,5,4/4/2009 0:00
2048,31270,4,4/4/2009 0:00
2048,31831,1,4/4/2009 0:00
2048,62530,4,4/5/2009 0:00
3854,17422,3,2/4/2009 0:00
3854,26405,3.5,2/4/2009 0:00
3854,23831,3.5,2/4/2009 0:00
3854,43529,5,2/4/2009 0:00
3854,60645,3,2/4/2009 0:00
3854,62530,3,2/4/2009 0:00
6500,17422,3,4/12/2009 0:00
6500,26405,1.5,4/12/2009 0:00
6500,54146,5,3/17/2009 0:00
6500,65325,2.5,4/12/2009 0:00
9093,12034,2.5,5/13/2009 0:00
9093,38700,2.5,5/13/2009 0:00
9093,51696,2.5,5/13/2009 0:00
9093,62530,3,5/13/2009 0:00
9093,61649,3.5,5/13/2009 0:00
1981,13762,4.5,5/24/2009 0:00
1981,49829,4.5,5/8/2009 0:00
251,21317,4.5,4/15/2009 0:00
251,29309,4.5,4/15/2009 0:00
251,47784,4.5,4/15/2009 0:00
251,56214,4,4/15/2009 0:00
251,62530,4.5,3/31/2009 0:00
1633,45686,3,11/13/2008 0:00
9499,63684,5,2/27/2009 0:00
2078,56558,5,6/6/2009 0:00
6530,5875,3.5,1/11/2009 0:00
6530,17422,4.5,1/31/2009 0:00
6530,26405,4,1/31/2009 0:00
6530,43529,4,1/31/2009 0:00
6530,62530,4,1/31/2009 0:00
6530,64316,4,1/31/2009 0:00
571,16694,2.5,5/16/2009 0:00
571,31065,5,5/16/2009 0:00
571,30003,3,5/16/2009 0:00
571,40282,5,5/16/2009 0:00
571,51696,0.5,5/16/2009 0:00
571,55304,5,5/16/2009 0:00
571,60126,5,5/16/2009 0:00
119,17293,2.5,4/4/2009 0:00
119,47784,3,4/4/2009 0:00
119,62530,1.5,4/4/2009 0:00
9190,49294,3,5/7/2009 0:00
9190,48019,3,5/7/2009 0:00
70,43529,3.5,1/12/2009 0:00
1656,9760,4,4/25/2009 0:00
1656,16969,4,4/25/2009 0:00
1656,17293,4.5,4/25/2009 0:00
1656,22375,2,4/25/2009 0:00
1656,34060,3,4/25/2009 0:00
1656,36315,4.5,4/25/2009 0:00
1656,52705,3,8/28/2009 0:00
1656,62530,5,1/29/2009 0:00
1656,62537,4,4/25/2009 0:00
6192,603,5,10/7/2009 0:00
6192,10563,5,10/7/2009 0:00
6192,25050,5,10/7/2009 0:00
6192,47429,4,10/5/2009 0:00
6192,46173,5,10/7/2009 0:00
6192,55952,2,10/7/2009 0:00
6192,53990,4.5,10/5/2009 0:00
6192,57390,4.5,10/7/2009 0:00
6192,66600,5,10/7/2009 0:00
9789,17422,3,1/25/2009 0:00
9789,26405,5,1/25/2009 0:00
9789,43529,3,1/25/2009 0:00
9789,60645,3,1/25/2009 0:00
9789,62530,3,1/25/2009 0:00
9789,65325,3.5,3/15/2009 0:00
6331,38700,5,5/15/2009 0:00
6331,44142,2,5/15/2009 0:00
6331,51696,5,5/15/2009 0:00
6331,55248,3,5/15/2009 0:00
6331,60232,3.5,5/15/2009 0:00
6573,26405,2.5,2/11/2009 0:00
6573,43529,1.5,2/11/2009 0:00
6573,53497,2.5,6/7/2009 0:00
6573,62530,2.5,2/11/2009 0:00
9258,12902,3.5,4/17/2009 0:00
9258,12903,3,4/17/2009 0:00
9258,13352,3,4/17/2009 0:00
9258,16702,3,4/12/2009 0:00
9258,47784,3,3/27/2009 0:00
9258,62530,3,4/12/2009 0:00
6563,16969,5,2/28/2009 0:00
6563,62530,5,3/2/2009 0:00
6234,57699,2,7/28/2009 0:00
9648,43529,5,6/8/2009 0:00
9648,62530,5,6/8/2009 0:00
2182,49829,4.5,5/8/2009 0:00
5212,63684,3.5,6/2/2009 0:00
258,16694,3,5/23/2009 0:00
258,51696,1.5,5/23/2009 0:00
258,61649,2,5/23/2009 0:00
6481,5124,4.5,4/25/2009 0:00
6481,5806,3.5,4/25/2009 0:00
6481,10382,4,5/5/2009 0:00
6481,15162,4.5,4/25/2009 0:00
6481,19769,4.5,4/25/2009 0:00
6481,18410,5,4/25/2009 0:00
6481,19726,3,4/25/2009 0:00
6481,39811,4.5,4/25/2009 0:00
6481,45119,5,4/25/2009 0:00
6481,58072,4.5,4/25/2009 0:00
6481,61034,3.5,4/25/2009 0:00
6481,59471,4,4/25/2009 0:00
6481,61968,4,4/25/2009 0:00
307,464,3.5,1/23/2008 0:00
307,10566,4.5,6/16/2008 0:00
307,24251,3.5,6/16/2008 0:00
307,20642,3,6/16/2008 0:00
307,20644,2.5,6/16/2008 0:00
307,20645,2.5,6/16/2008 0:00
307,23789,3.5,6/16/2008 0:00
307,35510,2,1/23/2008 0:00
307,40793,4,1/23/2008 0:00
307,56111,3.5,1/23/2008 0:00
307,57244,4,6/16/2008 0:00
1324,49792,4.5,5/15/2009 0:00
5918,62530,1,4/27/2009 0:00
2183,8165,4.5,6/8/2009 0:00
2183,18330,4,8/25/2009 0:00
2183,23821,3.5,8/25/2009 0:00
2183,28306,5,8/25/2009 0:00
2183,62530,5,6/13/2009 0:00
6035,348,4,3/24/2009 0:00
6035,926,3,3/24/2009 0:00
6035,3065,4,3/24/2009 0:00
6035,5753,4,3/24/2009 0:00
6035,6074,4,3/24/2009 0:00
6035,6475,4,3/24/2009 0:00
6035,7877,4.5,3/24/2009 0:00
6035,8545,4.5,3/24/2009 0:00
6073,25050,0.5,9/23/2009 0:00
6073,43318,0.5,9/23/2009 0:00
1326,40697,3.5,3/30/2009 0:00
1326,60268,5,3/5/2009 0:00
6702,21442,4.5,6/8/2009 0:00
6702,44167,5,7/31/2009 0:00
6702,50126,4,7/31/2009 0:00
6702,49753,3,6/8/2009 0:00
6702,56672,4.5,7/31/2009 0:00
6702,60645,4.5,7/31/2009 0:00
8897,5124,3,7/20/2009 0:00
8897,12185,2.5,7/22/2009 0:00
8897,11161,2.5,7/22/2009 0:00
8897,17422,1,7/22/2009 0:00
8897,16969,1.5,7/22/2009 0:00
8897,18330,3.5,9/3/2009 0:00
371,348,4,5/1/2009 0:00
371,101,3.5,5/1/2009 0:00
371,926,4,5/1/2009 0:00
371,2350,4,5/1/2009 0:00
371,2776,4.5,5/1/2009 0:00
371,3135,4,5/1/2009 0:00
371,3317,3,5/1/2009 0:00
5955,7684,3.5,6/30/2009 0:00
5955,8784,3.5,6/30/2009 0:00
5955,20641,4,6/30/2009 0:00
5955,40265,4.5,6/30/2009 0:00
5955,51696,3,7/20/2009 0:00
5955,51434,3,6/29/2009 0:00
5955,51435,4.5,6/29/2009 0:00
5955,53309,5,6/29/2009 0:00
1645,10563,2.5,9/5/2009 0:00
1645,46173,1,9/5/2009 0:00
1645,55952,1,9/5/2009 0:00
1645,53990,1,9/5/2009 0:00
1645,57390,1,9/5/2009 0:00
1645,63200,1,9/5/2009 0:00
1645,66600,2.5,9/5/2009 0:00
1220,17422,3,1/16/2009 0:00
1220,26405,4,1/16/2009 0:00
1220,43529,3,1/16/2009 0:00
1220,60645,3.5,1/16/2009 0:00
3864,237,4.5,3/19/2009 0:00
3864,26642,5,3/19/2009 0:00
3864,48229,5,3/19/2009 0:00
9350,20641,5,7/16/2009 0:00
9889,81,1.5,6/25/2009 0:00
9889,101,2.5,6/25/2009 0:00
9889,2645,3,6/25/2009 0:00
9889,3065,3.5,6/25/2009 0:00
9889,3953,3,6/25/2009 0:00
9889,4174,2,6/25/2009 0:00
9889,5124,3,6/25/2009 0:00
9889,5277,3,6/26/2009 0:00
9889,5808,3.5,6/25/2009 0:00
9889,5853,1.5,6/25/2009 0:00
9889,6068,1.5,6/25/2009 0:00
6327,20641,3.5,7/17/2009 0:00
5604,2550,5,9/3/2009 0:00
2175,8949,4.5,1/17/2009 0:00
2175,26405,4.5,1/17/2009 0:00
3285,21087,4.5,12/22/2008 0:00
3285,24251,4.5,12/26/2008 0:00
3285,20641,3.5,12/26/2008 0:00
3285,20642,4.5,12/26/2008 0:00
3285,20644,4.5,12/26/2008 0:00
3285,20645,4.5,12/26/2008 0:00
3285,46995,1.5,12/22/2008 0:00
3865,21508,0.5,8/1/2009 0:00
3866,4770,5,11/11/2008 0:00
3866,12956,4,4/28/2009 0:00
3866,41763,3.5,6/6/2009 0:00
3866,47784,3,3/1/2009 0:00
3866,48509,5,3/1/2009 0:00
3866,53968,3,3/10/2009 0:00
3866,53027,5,3/6/2009 0:00
3866,53762,3,3/6/2009 0:00
3866,56915,5,11/15/2008 0:00
3866,55709,4.5,3/6/2009 0:00
3866,65230,4,3/6/2009 0:00
3866,66612,4,4/28/2009 0:00
1670,20641,5,6/30/2009 0:00
1670,36092,4.5,9/3/2009 0:00
1670,49947,5,9/11/2009 0:00
1670,49948,5,9/2/2009 0:00
1670,57691,5,7/10/2009 0:00
1670,63684,5,7/10/2009 0:00
